director,evaluate_number,introduce,leadactors,movie_name,picture,release_time,score,serial_number,typelist
"
彼得·杰克逊PeterJackson",461767人评价,史诗的终章。, 维果·莫腾森 Viggo Mortensen / ...,指环王3：王者无敌,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,"
                            
                            2003                ",9.2,32,美国 新西兰剧情 动作 奇幻 冒险
"
彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson",833912人评价,最后那些最无聊的事情，才是最值得怀念的。 , 爱德...,飞屋环游记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,"
                            
                            2009
                        ",9,33,美国剧情 喜剧 动画 冒险
"
姜文WenJiang",390456人评价,对敌人的仁慈，就是对自己残忍。, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,"
                            
                            2000               ",9.2,34,中国大陆剧情 历史 战争
"
SidneyLumet",278267人评价,1957年的理想主义。 , 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,"
 
                            1957                   ",9.4,35,美国剧情
"
宫崎骏HayaoMiyazaki",537630人评价,对天空的追逐，永不停止。 , 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,"
                      1986
                        ",9.1,36,日本动画 奇幻 冒险
"
朱塞佩·托纳多雷GiuseppeTornatore",437268人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。, 安东内拉·阿蒂利 Anton...,天堂电影院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,",
                            1988
                        ",9.2,37,意大利 法国剧情 爱情
"
李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina",890525人评价,死亡不是真的逝去，遗忘才是永恒的消亡。, ...,寻梦环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,"
                            
                            2017
                        ",9.1,38,美国喜剧 动画 奇幻 音乐
"
贝纳尔多·贝托鲁奇BernardoBertolucci",403088人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,? 尊龙 John Lone / 陈...,末代皇帝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,"
                            
                            1987
                        ",9.2,39,英国 意大利 中国大陆 法国剧情 传记 历史
"
刘镇伟JeffreyLau",736471人评价,旷古烁今。, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..,大话西游之月光宝盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,"
                            
                            1995                 ",9,40,中国香港 中国大陆喜剧 爱情 奇幻 古装
"
宫崎骏HayaoMiyazaki",609195人评价,带着心爱的人在天空飞翔。, 倍赏千惠子 Chieko Baish? / 木村拓...,哈尔的移动城堡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,"
 
                            2004                  ",9,41,       
"
威廉·惠勒WilliamWyler",616613人评价,爱情哪怕只有一天。, 奥黛丽·赫本 Audrey Hepburn / 格...,罗马假日,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,"
                            
                            1953
                        ",9,42,美国喜剧 剧情 爱情
"
大卫·芬奇DavidFincher",574009人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。, 爱德华·诺顿 Edward Norton / 布拉...,搏击俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,"
                                                 1999
                        ",9,43,美国 德国剧情 动作 悬疑 惊悚
"
马丁·布莱斯MartinBrest",530877人评价,史上最美的探戈。, 阿尔·帕西诺 Al Pacino / 克里斯...,闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,"

                            1992
                        ",9,44,美国剧情
"
李濬益Jun-ikLee",360370人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,素媛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,"
                            
                            2013
                        ",9.2,45,韩国剧情
"
杨宇硕Woo-seokYang",369823人评价,电影的现实意义大过电影本身。, 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,辩护人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,"
                                                  2013
                        ",9.2,46,韩国剧情
"
娜丁·拉巴基NadineLabaki",444202人评价,凝视卑弱生命，用电影改变命运。, 扎因·拉费阿 Zain al-Rafeea / ...,何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,"
                                                 2018
                        ",9.1,47,黎巴嫩 法国 美国剧情
"
弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...",362370人评价,别样人生。,...,窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,"

                            2006
                        ",9.1,48,德国剧情 悬疑
"
彼得·威尔PeterWeir",441397人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1650499822.jpg,"
                            
                            1989
                        ",9.1,49,美国剧情
"
弗朗西斯·福特·科波拉FrancisFordCoppola..",315902人评价,优雅的孤独。, 阿尔·帕西诺 A.,教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,"
                     1974
                        ",9.2,50,美国剧情 犯罪
"
GuyRitchie???",388603人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,主演: Jason Flemyng / Dexter Fletcher / Nick Moran,两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,"
                                                   1998
                        ",9.1,51,英国剧情 喜剧 犯罪
"
彼得·杰克逊PeterJackson???",427850人评价,承前启后的史诗篇章。, 伊利亚·伍德 Elijah Wood / 西恩...,指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,"
                            
                            2002
                        ",9.1,52,美国 新西兰剧情 动作 奇幻 冒险
"
米洛斯·福尔曼Milo?Forman",393017人评价,自由万岁。, 杰克·尼科尔森 Jack Nichols...,飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,"
                                                   1975
                        ",9.1,53,美国剧情
"
RogerAllers/罗伯·明可夫RobMinkoff",478305人评价,动物版《哈姆雷特》。, 乔纳森·泰勒·托马...,狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,"
                            
                            1994
                        ",9,54,美国动画 冒险 歌舞
"
彼得·杰克逊PeterJackson",480885人评价,传说的开始。, 伊利亚·伍德 Elijah Wood / 西恩...,指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,"
                     2001                 ",9,55,新西兰 美国剧情 动作 奇幻 冒险
"
詹姆斯·麦克特格JamesMcTeigue",678704人评价,一张面具背后的理想与革命。, 娜塔莉·波特曼 Natalie Por...,V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,"
                        2005                 ",8.9,56,美国 英国 德国剧情 动作 科幻 惊悚
"
朗·霍华德RonHoward",473763人评价,爱是一切逻辑和原由。, 罗素·克劳 Russell Crowe / 艾德·哈...,美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,"
                                                    2001
                        ",9,57,美国传记 剧情
"
李安AngLee",341138人评价,人生不能像做菜，把所有的料都准备好了才下锅。, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,"
                                                 1994
                        ",9.1,58,中国台湾 美国剧情 家庭
"
万籁鸣LaimingWan/唐澄ChengTang",214152人评价,经典之作，历久弥新。, 邱岳峰 Yuefeng Qiu /...,大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,"
                      1961(中国大陆)1964(中国大陆)1978(中国大陆)2004(中国大陆)
                        ",9.3,59,中国大陆动画 奇幻
"
ChrisColumbus",518379人评价,童话世界的开端。, Daniel Radcliffe / Emma Watson / Rupert Grint,哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,"
                            
                            2001
                        ",8.9,60,美国 英国奇幻 冒险
